dataset	Alg_name	supp	conf	m	rl_no	lrg_len	mem	tot_t	usr_t	set_t	part	rand
data/mushroom.dat	dic	0.9	0.8	100	0	9	22298624	1.076066	1.068066	1.076066	0	0
data/mushroom.dat	dic	0.9	0.8	100	0	9	22315008	0.908058	0.900057	0.908058	1	0
data/mushroom.dat	dic	0.9	0.8	500	0	9	22315008	1.060066	1.056066	1.060066	0	0
data/mushroom.dat	dic	0.9	0.8	500	0	9	22347776	0.96806	0.956059	0.96806	1	0
data/mushroom.dat	dic	0.9	0.8	1000	0	9	22347776	1.10807	1.096069	1.10807	0	0
data/mushroom.dat	dic	0.9	0.8	1000	0	9	22364160	1.040064	1.032064	1.040064	1	0
data/mushroom.dat	dic	0.9	0.8	2000	0	9	22364160	1.084068	1.072067	1.084068	0	0
data/mushroom.dat	dic	0.9	0.8	2000	0	9	22396928	1.204076	1.192075	1.204076	1	0
data/mushroom.dat	dic	0.9	0.8	8124	0	9	22396928	1.096068	1.076067	1.096068	0	0
data/mushroom.dat	dic	0.9	0.8	8124	0	9	22413312	2.07213	2.06813	2.07213	1	0
data/mushroom.dat	apriori	0.9	0.8	n/a	0	9	22429696	0.220013	0.220013	0.220013	n/a	n/a
data/mushroom.dat	dic	0.8	0.8	100	0	23	22544384	2.736171	2.732171	2.736171	0	0
data/mushroom.dat	dic	0.8	0.8	100	0	23	22560768	1.552098	1.532096	1.552098	1	0
data/mushroom.dat	dic	0.8	0.8	500	0	23	22560768	2.668166	2.640165	2.668166	0	0
data/mushroom.dat	dic	0.8	0.8	500	0	23	22560768	2.280143	2.256141	2.280143	1	0
data/mushroom.dat	dic	0.8	0.8	1000	0	23	22560768	2.672167	2.652166	2.672167	0	0
data/mushroom.dat	dic	0.8	0.8	1000	0	23	22560768	2.41215	2.40815	2.41215	1	0
data/mushroom.dat	dic	0.8	0.8	2000	0	23	22577152	2.620164	2.620164	2.620164	0	0
data/mushroom.dat	dic	0.8	0.8	2000	0	23	22577152	4.552285	4.552285	4.552285	1	0
data/mushroom.dat	dic	0.8	0.8	8124	0	23	22609920	2.596163	2.592162	2.596163	0	0
data/mushroom.dat	dic	0.8	0.8	8124	0	23	22626304	4.596287	4.596287	4.596287	1	0
data/mushroom.dat	apriori	0.8	0.8	n/a	0	23	22626304	0.496031	0.492031	0.496031	n/a	n/a
data/mushroom.dat	dic	0.7	0.8	100	0	31	22659072	4.136258	4.128258	4.136258	0	0
data/mushroom.dat	dic	0.7	0.8	100	0	31	22675456	1.564098	1.544096	1.564098	1	0
data/mushroom.dat	dic	0.7	0.8	500	0	31	22708224	4.17226	4.16026	4.17226	0	0
data/mushroom.dat	dic	0.7	0.8	500	0	31	22708224	2.024127	2.024127	2.024127	1	0
data/mushroom.dat	dic	0.7	0.8	1000	0	31	22708224	4.196262	4.196262	4.196262	0	0
data/mushroom.dat	dic	0.7	0.8	1000	0	31	22708224	2.22814	2.208138	2.22814	1	0
data/mushroom.dat	dic	0.7	0.8	2000	0	31	22708224	4.268266	4.232264	4.268266	0	0
data/mushroom.dat	dic	0.7	0.8	2000	0	31	22708224	2.596163	2.596163	2.596163	1	0
data/mushroom.dat	dic	0.7	0.8	8124	0	31	22708224	4.144259	4.144259	4.144259	0	0
data/mushroom.dat	dic	0.7	0.8	8124	0	31	22708224	4.916307	4.888305	4.916307	1	0
data/mushroom.dat	apriori	0.7	0.8	n/a	0	31	22708224	0.696043	0.688043	0.696043	n/a	n/a
data/mushroom.dat	dic	0.6	0.8	100	0	51	22708224	5.804363	5.75236	5.804363	0	0
data/mushroom.dat	dic	0.6	0.8	100	0	51	22773760	5.43634	5.428339	5.43634	1	0
data/mushroom.dat	dic	0.6	0.8	500	0	51	22773760	5.744358	5.736358	5.744358	0	0
data/mushroom.dat	dic	0.6	0.8	500	0	51	22839296	5.264329	5.264329	5.264329	1	0
data/mushroom.dat	dic	0.6	0.8	1000	0	51	22904832	6.000375	5.968373	6.000375	0	0
data/mushroom.dat	dic	0.6	0.8	1000	0	51	23035904	5.228327	5.216326	5.228327	1	0
data/mushroom.dat	dic	0.6	0.8	2000	0	51	23101440	6.504407	6.504407	6.504407	0	0
data/mushroom.dat	dic	0.6	0.8	2000	0	51	23265280	6.88043	6.864429	6.88043	1	0
data/mushroom.dat	dic	0.6	0.8	8124	0	51	23314432	6.300394	6.300394	6.300394	0	0
data/mushroom.dat	dic	0.6	0.8	8124	0	51	23347200	8.372523	8.32052	8.372523	1	0
data/mushroom.dat	apriori	0.6	0.8	n/a	0	51	23347200	1.27608	1.268079	1.27608	n/a	n/a
data/mushroom.dat	dic	0.5	0.8	100	0	153	23445504	14.336895	14.312894	14.336895	0	0
data/mushroom.dat	dic	0.5	0.8	100	0	153	25165824	28.833803	28.7898	28.833803	1	0
data/mushroom.dat	dic	0.5	0.8	500	0	153	25198592	13.636852	13.584849	13.636852	0	0
data/mushroom.dat	dic	0.5	0.8	500	0	153	26361856	18.689168	18.657166	18.689168	1	0
data/mushroom.dat	dic	0.5	0.8	1000	0	153	26689536	13.480843	13.44484	13.480843	0	0
data/mushroom.dat	dic	0.5	0.8	1000	0	153	27541504	18.505156	18.485155	18.505156	1	0
data/mushroom.dat	dic	0.5	0.8	2000	0	153	27803648	13.252828	13.180824	13.252828	0	0
data/mushroom.dat	dic	0.5	0.8	2000	0	153	28016640	21.629352	21.557347	21.629352	1	0
data/mushroom.dat	dic	0.5	0.8	8124	0	153	28016640	12.664792	12.63679	12.664792	0	0
data/mushroom.dat	dic	0.5	0.8	8124	0	153	28016640	23.389461	23.265454	23.389461	1	0
data/mushroom.dat	apriori	0.5	0.8	n/a	0	153	28016640	4.368273	4.356272	4.368273	n/a	n/a
data/mushroom.dat	dic	0.4	0.8	100	0	565	28131328	65.712107	65.592099	65.712107	0	0
data/mushroom.dat	dic	0.4	0.8	100	0	565	69713920	177.243077	176.727045	177.243077	1	0
data/mushroom.dat	dic	0.4	0.8	500	0	565	70909952	57.175573	57.015563	57.175573	0	0
data/mushroom.dat	dic	0.4	0.8	500	0	565	78479360	81.633102	81.413088	81.633102	1	0
data/mushroom.dat	dic	0.4	0.8	1000	0	565	79642624	55.52347	55.367461	55.52347	0	0
data/mushroom.dat	dic	0.4	0.8	1000	0	565	82706432	75.84474	75.496718	75.84474	1	0
data/mushroom.dat	dic	0.4	0.8	2000	0	565	82706432	54.191387	54.071379	54.191387	0	0
data/mushroom.dat	dic	0.4	0.8	2000	0	565	82706432	86.129383	85.565348	86.129383	1	0
data/mushroom.dat	dic	0.4	0.8	8124	0	565	82706432	54.88743	54.679417	54.88743	0	0
data/mushroom.dat	dic	0.4	0.8	8124	0	565	82706432	100.958309	100.726295	100.958309	1	0
data/mushroom.dat	apriori	0.4	0.8	n/a	0	565	82706432	17.677105	17.641102	17.677105	n/a	n/a
data/mushroom.dat	dic	0.35	0.8	100	0	1189	82706432	119.615476	119.215451	119.615476	0	0
data/mushroom.dat	dic	0.35	0.8	100	0	1189	143589376	340.269265	339.013187	340.269265	1	0
data/mushroom.dat	dic	0.35	0.8	500	0	1189	145735680	97.818113	97.438089	97.818113	0	0
data/mushroom.dat	dic	0.35	0.8	500	0	1189	160514048	136.356522	135.768485	136.356522	1	0
data/mushroom.dat	dic	0.35	0.8	1000	0	1189	162594816	92.633789	92.421776	92.633789	0	0
data/mushroom.dat	dic	0.35	0.8	1000	0	1189	163381248	146.213138	145.28508	146.213138	1	0
data/mushroom.dat	dic	0.35	0.8	2000	0	1189	163381248	91.589724	91.241702	91.589724	0	0
