dataset	Alg_name	supp	conf	m	rl_no	lrg_len	mem	tot_t	usr_t	set_t	part	rand
data/mushroom.dat	dic	0.9	0.8	100	0	9	102875136	1.004062	0.980061	1.000062	0	0
data/mushroom.dat	dic	0.9	0.8	100	0	9	106774528	0.584037	0.576036	0.584037	1	0
data/mushroom.dat	dic	0.9	0.8	500	0	9	109314048	0.372023	0.372023	0.372023	0	0
data/mushroom.dat	dic	0.9	0.8	500	0	9	115490816	0.676042	0.664041	0.672042	1	0
data/mushroom.dat	dic	0.9	0.8	1000	0	9	115490816	0.304019	0.296019	0.304019	0	0
data/mushroom.dat	dic	0.9	0.8	1000	0	9	115539968	0.352022	0.348022	0.352022	1	0
data/mushroom.dat	dic	0.9	0.8	2000	0	9	115572736	0.336021	0.336021	0.336021	0	0
data/mushroom.dat	dic	0.9	0.8	2000	0	9	115621888	0.380025	0.372024	0.380025	1	0
data/mushroom.dat	dic	0.9	0.8	8124	0	9	115703808	0.288018	0.288018	0.288018	0	0
data/mushroom.dat	dic	0.9	0.8	8124	0	9	115834880	0.608038	0.604038	0.608038	1	0
data/mushroom.dat	apriori	0.9	0.8	n/a	0	9	116047872	0.196012	0.196012	0.196012	n/a	n/a
data/mushroom.dat	dic	0.8	0.8	100	0	23	122044416	1.256079	1.248078	1.256079	0	0
data/mushroom.dat	dic	0.8	0.8	100	0	23	122322944	0.664041	0.656041	0.66004	1	0
data/mushroom.dat	dic	0.8	0.8	500	0	23	122355712	0.708044	0.704044	0.708044	0	0
data/mushroom.dat	dic	0.8	0.8	500	0	23	122568704	0.764048	0.760047	0.764048	1	0
data/mushroom.dat	dic	0.8	0.8	1000	0	23	122568704	0.676042	0.668042	0.676042	0	0
data/mushroom.dat	dic	0.8	0.8	1000	0	23	122716160	0.776049	0.760048	0.776049	1	0
data/mushroom.dat	dic	0.8	0.8	2000	0	23	122732544	0.64804	0.64404	0.64804	0	0
data/mushroom.dat	dic	0.8	0.8	2000	0	23	122912768	1.232077	1.216076	1.232077	1	0
data/mushroom.dat	dic	0.8	0.8	8124	0	23	122929152	0.644041	0.64004	0.644041	0	0
data/mushroom.dat	dic	0.8	0.8	8124	0	23	122929152	1.160072	1.156072	1.160072	1	0
data/mushroom.dat	apriori	0.8	0.8	n/a	0	23	122961920	0.316019	0.308019	0.316019	n/a	n/a
data/mushroom.dat	dic	0.7	0.8	100	0	31	122978304	1.080067	1.080067	1.080067	0	0
